"standard_transect_id","latitude","longitude","transect_name","asd_code","CCAMLR_nominated_transect_yn","type","k_mu"
8,-60,-57.5,"T8","481","N","start","EI"
8,-61.75,-57.5,"T8","481","N","end","EI"
9,-60,-57,"T9","481","N","start","EI"
9,-61.75,-57,"T9","481","N","end","EI"
10,-60,-56.5,"T10","481","N","start","EI"
10,-61.75,-56.5,"T10","481","N","end","EI"
11,-60,-55.75,"T11","481","N","start","EI"
11,-61.75,-55.75,"T11","481","N","end","EI"
12,-60,-55,"T12","481","N","start","EI"
12,-61.05,-55,"T12","481","N","end","EI"
13,-60,-54.5,"T13","481","Y","start","EI"
13,-61.75,-54.5,"T13","481","Y","end","EI"
14,-60,-54,"T14","481","Y","start","EI"
14,-61.05,-54,"T14","481","Y","end","EI"
15,-63,-61.5,"T15","481","N","start","BS"
15,-63.5,-60.5,"T15","481","N","end","BS"
16,-63,-60.5,"T16","481","Y","start","BS"
16,-63.5,-59.5,"T16","481","Y","end","BS"
17,-62.75,-60,"T17","481","Y","start","BS"
17,-63.25,-59,"T17","481","Y","end","BS"
18,-62.5,-59.5,"T18","481","N","start","BS"
18,-63,-58.5,"T18","481","N","end","BS"
19,-62.5,-58.5,"T19","481","N","start","BS"
19,-63,-57.5,"T19","481","N","end","BS"
20,-62.25,-58,"T20","481","N","start","BS"
20,-62.75,-57,"T20","481","N","end","BS"
21,-62,-57.4,"T21","481","N","start","BS"
21,-62.5,-56.5,"T21","481","N","end","BS"
22,-62,-56,"T22","481","N","start","JOIN"
22,-62.75,-56,"T22","481","N","end","JOIN"
24,-61.25,-55,"T12b","481","N","start","EI"
24,-61.75,-55,"T12b","481","N","end","EI"
25,-61.333333,-54,"T14b","481","N","start","EI"
25,-61.75,-54,"T14b","481","N","end","EI"
26,-62,-55,"T23b","481","N","start","JOIN"
26,-63,-55,"T23b","481","N","end","JOIN"
27,-62,-54,"T24b","481","N","start","JOIN"
27,-63,-54,"T24b","481","N","end","JOIN"
28,-63.083333,-62.25,"T25","481","N","start","GS"
35,-64.041667,-61.416667,"T31","481","N","start","GS_strait"
36,-64.2,-61.65,"T32","481","N","start","GS_strait"
37,-64.3,-61.97,"T33","481","N","start","GS_strait"
38,-64.45,-62.258333,"T34","481","N","start","GS_strait"
39,-64.533333,-62.533333,"T35","481","N","start","GS_strait"
28,-63.666667,-61,"T25","481","N","end","GS"
35,-64.05,-61.21,"T31","481","N","end","GS_strait"
36,-64.34,-61.36,"T32","481","N","end","GS_strait"
37,-64.45,-61.68,"T33","481","N","end","GS_strait"
38,-64.5,-62.09,"T34","481","N","end","GS_strait"
39,-64.55,-62.5,"T35","481","N","end","GS_strait"
23,-60,-61.5,"T6b","481","N","start","SSIW"
23,-61.5,-58.5,"T6b","481","N","end","SSIW"
5,-60,-63.5,"T5","481","N","start","SSIW"
5,-62,-59.5,"T5","481","N","end","SSIW"
3,-60,-65.5,"T3","481","Y","start","SSIW"
3,-62.25,-61,"T3","481","Y","end","SSIW"
1,-60,-67.5,"T1","481","N","start","SSIW"
1,-62.75,-62,"T1","481","N","end","SSIW"
30,-60,-69.5,"T26","481","N","start","GS"
30,-63.75,-62,"T26","481","N","end","GS"
32,-60.75,-70,"T28","481","N","start","GS"
32,-64.25,-63,"T28","481","N","end","GS"
34,-61.75,-70,"T30","481","N","start","GS"
34,-64.5,-64.5,"T30","481","N","end","GS"
6,-60.657895,-61.184211,"T6","481","N","start","SSIW"
6,-61.75,-59,"T6","481","N","end","SSIW"
4,-61.184211,-62.131579,"T4","481","N","start","SSIW"
4,-62.25,-60,"T4","481","N","end","SSIW"
2,-61.710526,-63.078947,"T2","481","Y","start","SSIW"
2,-62.5,-61.5,"T2","481","Y","end","SSIW"
29,-62.224265,-64.003676,"T25b","481","N","start","GS"
29,-62.933333,-62.65,"T25b","481","N","end","GS"
31,-62.763158,-64.973684,"T27","481","N","start","GS"
31,-63.875,-62.75,"T27","481","N","end","GS"
33,-63.289474,-65.921053,"T29","481","N","start","GS"
33,-64.25,-64,"T29","481","N","end","GS"
NA,-62.796015,-70,"T37","481",NA,"start",NA
NA,-64.893789,-65.902302,"T37","481",NA,"end",NA
NA,-63.880011,-70,"T39","481",NA,"start",NA
NA,-65.766433,-66.409025,"T39","481",NA,"end",NA
NA,-65.009385,-70,"T41","481",NA,"start",NA
NA,-66.362749,-67.495518,"T41","481",NA,"end",NA
NA,-66.193268,-70,"T43","481",NA,"start",NA
NA,-66.895078,-68.740961,"T43","481",NA,"end",NA
NA,-67.443031,-70,"T45","481",NA,"start",NA
NA,-68.0159,-69.006655,"T45","481",NA,"end",NA
NA,-68.17533,-68.730249,"T45.1","481",NA,"start",NA
NA,-68.495465,-68.175124,"T45.1","481",NA,"end",NA
NA,-68.772964,-70,"T47","481",NA,"start",NA
NA,-69.348276,-69.039209,"T47","481",NA,"end",NA
NA,-63.837946,-66.908304,"T36","481",NA,"start",NA
NA,-65.075773,-64.450255,"T36","481",NA,"end",NA
NA,-64.436993,-67.986553,"T38","481",NA,"start",NA
NA,-65.442801,-65.930196,"T38","481",NA,"end",NA
NA,-65.002951,-69,"T40","481",NA,"start",NA
NA,-66.057691,-66.960031,"T40","481",NA,"end",NA
NA,-64.802087,-60.49137,"A","481",NA,"end",NA
NA,-64.802084,-50,"A","481",NA,"start",NA
NA,-64.406259,-56.727742,"B","481",NA,"end",NA
NA,-64.406251,-50,"B","481",NA,"start",NA
NA,-64.010425,-57.019428,"C","481",NA,"end",NA
NA,-64.010419,-50,"C","481",NA,"start",NA
NA,-63.614593,-55.577594,"D","481",NA,"end",NA
NA,-63.614586,-50,"D","481",NA,"start",NA
NA,-60.138497,-60.249227,"T6b2","481",NA,"start",NA
NA,-61.224606,-58.015352,"T6b2","481",NA,"end",NA
NA,-60.000006,-59.51449,"T6b3","481",NA,"start",NA
NA,-60.734859,-58,"T6b3","481",NA,"end",NA
NA,-60.000003,-58.493933,"T6b4","481",NA,"start",NA
NA,-60.237477,-58,"T6b4","481",NA,"end",NA
NA,-60,-52.75,"PB1","481",NA,"start",NA
NA,-63.25,-52.75,"PB1","481",NA,"end",NA
NA,-60,-52,"PB2","481",NA,"start",NA
NA,-63.25,-52,"PB2","481",NA,"end",NA
NA,-60,-51.25,"PB3","481",NA,"start",NA
NA,-63.25,-51.25,"PB3","481",NA,"end",NA
NA,-60,-50.5,"PB4","481",NA,"start",NA
NA,-63.25,-50.5,"PB4","481",NA,"end",NA
